"S/N","STATE","CONSTITUENCY","PARTY","POSITION","CANDIDATE_NAME","PWD","AGE","GENDER","QUALIFICATIONS","REMARKS"
"334","EBONYI","EBONYI NORTH","NRM","Senate","OTUBO SOLOMON IGWE","None","47","M","FRIST SCHOOL",""
LEAVING CERTIFICATE",""
NABTEB",""
"335","EBONYI","EBONYI","PDP","Senate","OGBEE LAZARUS NWERU","None","54","M","FSLC GCE BSC",""
"","","CENTRAL","","","","","","","",""
"336","EBONYI","EBONYI NORTH","PDP","Senate","EGWU SAMUEL OMINYI","None","68","M","FSLC WAEC BSC, MSC,",""
PHD",""
"337","EBONYI","EBONYI SOUTH","PDP","Senate","NNACHI MICHAEL AMA","None","58","M","FSLC WAEC BSC",""
"338","EBONYI","EBONYI SOUTH","SDP","Senate","KELECHI NNACHI OLUGHU","None","45","M","FLSC",""
"339","EBONYI","EBONYI","SDP","Senate","MGBADA DANIEL","None","40","M","O'LEVEL",""
"","","CENTRAL","","","","","","","",""
"340","EBONYI","EBONYI NORTH","SDP","Senate","NWODOM DESTINY U.","None","40","M","FSLC SSCE BSC",""
"341","EBONYI","EBONYI SOUTH","YPP","Senate","NWAMINI RHODA EBERE","None","38","F","FSLC WASSCE",""
"342","EBONYI","EBONYI","YPP","Senate","NWONU SUNDAY","None","43","M","FSLC SSCE",""
"343","EDO","EDO CENTRAL","A","Senate","AIDAGHESE ALEX EHI","None","62","M","SSC BACHELOR OF",""
LAW",""
"","","","","","","Paraplegic/","","","",""
"344","EDO","EDO NORTH","AA","Senate","ONAIVI FRANCIS OJO","Crippled","63","M","F.L.S.C WAEC",""
"345","EDO","EDO SOUTH","AA","Senate","OMORUYI OSAS","None","42","M","F.L.S.C WAEC",""
"346","EDO","EDO CENTRAL","AA","Senate","ANENIH LOVINSON SAINT","None","48","M","F.L.S.C WAEC",""
"","","","","","","Deaf/","","","",""
"347","EDO","EDO SOUTH","ADC","Senate","IGUNBOR OLUWAKEMI","","45","F","FIRST SCHOOL",""
"","","","","","","Dumb","","","",""
"","","","","","CHRISTIANA","","","","LEAVING",""
CERTIFICATE WACE",""
MSC SOCIOLOGY",""
(MEDICAL)",""
"348","EDO","EDO NORTH","ADC","Senate","EHIDIAMHEN PAUL","None","43","M","SECONDARY SCHOOL",""
CERTIFICATE",""
"349","EDO","EDO CENTRAL","ADC","Senate","ODION KENNEDY OSAS","None","42","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SECONDARY SCHOOL",""
CERTIFICATE",""
"350","EDO","EDO SOUTH","ADP","Senate","AKPOBI EBENEZER","None","51","M","FIRST SCHOOL",""
"","","","","","AKPOVIRE","","","","LEAVING CERTIFICATE",""
SSCE",""
"351","EDO","EDO CENTRAL","ADP","Senate","IBOI LUCKY EMMANUEL","None","38","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WAEC B.Sc",""
"352","EDO","EDO NORTH","ADP","Senate","AKHIMIE KINGSON","None","35","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SSCE",""
"353","EDO","EDO SOUTH","APC","Senate","ASUEN VALENTINE","None","45","M","PRIMARY SCHOOL",""
"","","","","","OWAMAGBE","","","","CERTIFICATE WAEC/",""
GCE BSC POLITICAL",""
SCIENCE",""
"354","EDO","EDO NORTH","APC","Senate","OSHIOMHOLE ADAMS","None","70","M","PRIMARY SCHOOL",""
LEAVING CERTIFICATE",""
"","","","","","ALIYU","","","","",""
SECONDARY MODERN",""
SCHOOL RUSKIN COLLEGE",""
OXFORD, UNITED",""
KINGDOM",""
"355","EDO","EDO CENTRAL","APC","Senate","OKPEBHOLO MONDAY","None","52","M","PRIMARY",""
SCHOOL LEAVING",""
CERTIFICATE WAEC/",""
NECO BSC BUSINESS",""
ADMINISTRATION",""
"356","EDO","EDO NORTH","BP","Senate","EDEIPO OSIRIAME","None","45","M","Primary School Leaving",""
Certificate  WAEC",""
B. Engr (Mech), B. A",""
(English)",""
"357","EDO","EDO NORTH","LP","Senate","ERAGBE ANSLEM APHIMIA","None","49","M","FSLC SSCE Degree",""
"358","EDO","EDO CENTRAL","LP","Senate","ABURE ODIANOSEN JULIUS","None","51","M","FSLC SSCE Degree",""
"359","EDO","EDO SOUTH","LP","Senate","IMASUEN NEDA BERNARDS None","","65","M","FSLC WASC/GCE LL.B",""
"360","EDO","EDO CENTRAL","NNPP","Senate","AKHIGBE OKODUWA","None","41","M","BAPTIST NURSERY",""
CRESCENT",""
INTERNATIONAL",""
SECONDRY SCHOOL,,",""
KANO BSC, MSC",""
"361","EDO","EDO SOUTH","NNPP","Senate","UYIGUE FREDERICE MUSA","None","64","M","CERTIFICATE OF",""
"","","","","","OSAR-OSE","","","","PRIMARY SSCE",""
"362","EDO","EDO NORTH","NNPP","Senate","IGWEMOH AYEMERE","None","60","M","CERTIFICATE OF",""
"","","","","","ANDREW","","","","PRIMARY SSCE",""
"363","EDO","EDO SOUTH","NRM","Senate","OBANOR IMAREN","None","61","M","FSLC NATIONAL",""
"","","","","","AUGUSTINE","","","","CERTIFICATE OF",""
EDUCATION BSc",""
"364","EDO","EDO SOUTH","PDP","Senate","OGBEIDE-IHAMA","None","48","M","FSLC, SSCE, B.ENG,","COURT"
"","","","","","OMOREGIE","","","","MBA","ORDER"
"365","EDO","EDO NORTH","PDP","Senate","UGBOME PASCAL","None","57","M","FSLC, WAEC/GCE, BL,","COURT"
"","","","","","IKPEMOGHENA","","","","LL.B, MPA","ORDER"
"366","EDO","EDO CENTRAL","PDP","Senate","ONOLEMEMEN MICHAEL","None","56","M","FSLC, GCE, B.SC","COURT"
"","","","","","OZIEGBE","","","","(ARCHITECTURE)","ORDER"
"367","EDO","EDO NORTH","SDP","Senate","AKHARUME FRANK","None","70","M","FSLC  BSE",""
"368","EDO","EDO SOUTH","SDP","Senate","ORONSAYE FRIDAY","None","61","M","WAEC UNIVERSITY",""
"","","","","","OSARUEMWIN","","","","OF BENIN",""
"369","EDO","EDO CENTRAL","SDP","Senate","IYERE SEBASTIAN","None","52","M","FSLC WAEC BSC",""
"370","EDO","EDO CENTRAL","ZLP","Senate","OGEIDE MERCY","None","36","F","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WAEC",""
"371","EDO","EDO NORTH","ZLP","Senate","YAKUBU PAUL","None","38","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SSCE",""
"372","EDO","EDO SOUTH","ZLP","Senate","ERHUNMWUNSE OSAGIE","None","37","M","B.A (Ed)",""
"373","EKITI","EKITI SOUTH","AAC","Senate","OGUNLEYE DARE DELE","None","35","M","FSLC WAEC DEGREE",""
"374","EKITI","EKITI NORTH","ADC","Senate","ORIMOLADE KEHINDE,","None","58","M","FIRST SCHOOL",""
"","","","","","BAMIDELE","","","","LEAVING CERTIFICATE",""
WASC B.SC , M.SC,",""
P.HD",""
"375","EKITI","EKITI SOUTH","ADC","Senate","AYODELE AYOKUNLE,","None","50","M","FIRST SCHOOL",""
"","","","","","OLUSEGUN","","","","LEAVING CERTIFICATE",""
WASC FUTA-NG, NEC-",""
USA, CTU-USA",""
"376","EKITI","EKITI CENTRAL","ADC","Senate","FAJUYI FEYISAYO,","None","63","F","FIRST SCHOOL",""
"","","","","","OMOTUNDE OPE","","","","LEAVING CERTIFICATE",""
WASC B.SC",""
"377","EKITI","EKITI SOUTH","APC","Senate","ADARAMODU ADEYEMI","None","58","M","WAEC BA",""
"","","","","","RAPHAEL","","","","",""
"378","EKITI","EKITI CENTRAL","APC","Senate","BAMIDELE MICHAEL","None","59","M","ALL SAINTS PRY.",""
"","","","","","OPEYEMI","","","","SCHOOL, OWODE",""
EGBA , OGUN STATE",""
EGBA OWODE",""
GRAMMAR SCHOOL,",""
OWODE EGBA, OGUN",""
STATE UNIVERSITY OF",""
IFE, ILE - IFE (NOW O.",""
A U), ILE - IFE)",""
"379","EKITI","EKITI NORTH","APC","Senate","FASUYI CYRIL OLUWOLE","None","57","M","First School Leaving",""
"","","","","","OLUSEGUN","","","","Certificate WAEC BSc",""
"380","EKITI","EKITI CENTRAL","NNPP","Senate","JINADU ISIAKA OLAOLUWA","None","52","M","CERTIFICATE OF",""
PRIMARY SSCE BSC",""
"381","EKITI","EKITI NORTH","NNPP","Senate","AYENI EDWARD ADELUSI","None","62","M","CERTIFICATE OF",""
PRIMARY SSCE BSC",""
"382","EKITI","EKITI SOUTH","NNPP","Senate","OLAFIN  AYODELE SAMUEL","None","44","M","CERTIFICATE OF",""
PRIMARY SSCE BSC",""
"383","EKITI","EKITI NORTH","PDP","Senate","AYENI FUNSO","None","44","M","FSLC SSCE HND",""
"384","EKITI","EKITI SOUTH","PDP","Senate","OLUJIMI 'BIODUN","None","65","F","FSLC TESTIMONIAL",""
"","","","","","CHRISTINE","","","","WAEC B.SC",""
(POLITICAL SCIENCE)",""
"385","EKITI","EKITI CENTRAL","PDP","Senate","AJIJOLA LATEEF OLADIMEJI","None","55","M","FSLC WAEC, GCE B.SC",""
(ECONOMICS),  MBA",""
"386","EKITI","EKITI NORTH","PRP","Senate","ADELEYE JOHN OLUSEGUN","None","60","M","SCHOOL LEAVING",""
CERTIFICATE",""
TEACHER'S GRADE 11",""
B.A. (ED.) HISTORY",""
"387","EKITI","EKITI NORTH","SDP","Senate","AIYEGBUSI AKINLOYE","None","47","M","FLSC SSCE BSC",""
"","","","","","OLADELE","","","","",""
"388","EKITI","EKITI CENTRAL","SDP","Senate","AROWOLO OLUSESAN","None","56","M","FLSC WAEC",""
"","","","","","DAVID","","","","",""
"389","EKITI","EKITI SOUTH","SDP","Senate","ABIODUN  FASAKIN ISAAC","None","55","M","LLB",""
"390","EKITI","EKITI NORTH","YPP","Senate","DARAMOLA KEHINDE","None","45","F","WAEC HND",""
"","","","","","ADEBANKE","","","","",""
"391","EKITI","EKITI NORTH","ZLP","Senate","IPINLAYE AYODELE","None","61","M","CERTIFICATE IN",""
"","","","","","KOLADE","","","","MANAGEMENT",""
"392","EKITI","EKITI CENTRAL","ZLP","Senate","OSUNTOKUN OLUSOLA","None","60","M","BSC",""
"","","","","","AKINTOLA","","","","",""
"393","EKITI","EKITI SOUTH","ZLP","Senate","KEHINDE ABAYOMI TOPE","None","45","M","NABTEB",""
"394","ENUGU","ENUGU NORTH","ADC","Senate","IDOKO CHIKA, EMMANUEL","None","37","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
SSCE B.SC",""
"395","ENUGU","ENUGU EAST","ADC","Senate","ANI EMMANUEL, KENNETH","None","45","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
"396","ENUGU","ENUGU WEST","ADC","Senate","CHUKWUMA STELLA,","None","59","F","FIRST SCHOOL",""
"","","","","","NNEAMAKA","","","","LEAVING CERTIFICATE",""
SSCE HND, PGD, MBA",""
"397","ENUGU","ENUGU NORTH","ADP","Senate","ABUGU MARYYAAN","None","35","F","FLSC SCHOOL WASC",""
"","","","","","NELLEN NGOZICHUKWUKA","","","","B.SC",""
"398","ENUGU","ENUGU EAST","APC","Senate","OGBU- AGUOCHA ADAKU","None","57","F","First School Leaving",""
"","","","","","ANNA","","","","Certificate WAEC BA",""
"399","ENUGU","ENUGU NORTH","APC","Senate","EZE SIMON EJIKE","None","63","M","WAEC BSc",""
"400","ENUGU","ENUGU WEST","APC","Senate","EZEH NICHOLAS CHIKA","None","58","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WASSC MSE",""
"401","ENUGU","ENUGU WEST","APGA","Senate","ENECHIONYIA  NDUBUISI","None","55","M","FIRST SCHOOL",""
"","","","","","KENECHUKWU","","","","LEAVING CERTIFICATE",""
SSCE BACHELORS",""
DEGREE",""
"402","ENUGU","ENUGU EAST","APGA","Senate","NWEGBO  UCHENNA","None","56","M","FIRST SCHOOL",""
"","","","","","HARRISON SUNDAY","","","","LEAVING CERTIFICATE",""
SSCE BACHELORS",""
DEGREE",""
"403","ENUGU","ENUGU NORTH","APGA","Senate","UGWU  CASMIR KANAYO","None","61","M","FSLC SSCE",""
BACHELORS DEGREE",""
"404","ENUGU","ENUGU EAST","APP","Senate","ONUORAH IFEYINWA","None","48","F","FSLC GCE (O'LEVEL)",""
"","","","","","ELIZABETH","","","","HND",""
"405","ENUGU","ENUGU WEST","APP","Senate","NZEKWE ONYEKACHUKWU None","","48","M","FSLC WASSCE B.SC",""
"406","ENUGU","ENUGU NORTH","APP","Senate","UBURU PATRICK.","None","43","M","FSLC WASSCE B.SC",""
"","","","","","NWABUEZE","","","","",""
"407","ENUGU","ENUGU EAST","LP","Senate","CHUKWU VICTOR, OYIBO","None","63","M","FSLC WAEC/GCE LLB",""
Law",""
"408","ENUGU","ENUGU NORTH","LP","Senate","EZEA OKECHUKWU","None","58","M","FSLC WASC B.Sc, LLB,",""
"409","ENUGU","ENUGU WEST","LP","Senate","EKWE UCHENNA","None","58","M","FSLC GCE B.Sc",""
"","","","","","IGWEBUIKE","","","","",""
"410","ENUGU","ENUGU NORTH","NNPP","Senate","EZEH HILLARY","None","37","M","PRIMARY LEAVING",""
CERTIFICATE SSCE",""
"411","ENUGU","ENUGU EAST","NNPP","Senate","ADJAI ROBINSON","None","52","M","PRIMARY LEAVEN",""
"","","","","","CHUKWUEMEKA","","","","SSCE",""
"412","ENUGU","ENUGU WEST","NNPP","Senate","UDEAGULU CLETUS","None","37","M","FIRST SCHOOL",""
"","","","","","NWANNEBUIKE","","","","LEAVING CERTIFICATE",""
SSCE BSC PUBLIC",""
HEALTH (APH), MD",""
HOMEOPATHIC",""
MEDICINE",""
"413","ENUGU","ENUGU NORTH","NRM","Senate","OMEJE EMMANUEL","None","37","M","WAEC BSc",""
"","","","","","OKWUDILI","","","","",""
"414","ENUGU","ENUGU EAST","NRM","Senate","JERRY UCHE CHUKWU","None","46","M","WAEC",""
"415","ENUGU","ENUGU WEST","NRM","Senate","MADUKA DOMINIC","None","40","M","FSLC WAEC HND",""
"","","","","","OBIORA","","","","",""
"416","ENUGU","ENUGU NORTH","PDP","Senate","UGWUANYI IFEANYI","None","58","M","WAEC BSC, MBA",""
"","","","","","LAWRENCE","","","","",""
"417","ENUGU","ENUGU WEST","PDP","Senate","NGWU OSITA","None","44","M","WAEC BACHELOR OF",""
ENGINEERING",""
"418","ENUGU","ENUGU EAST","PDP","Senate","NNAMANI CHIMAROKE","None","62","M","BACHELOR",""
"","","","","","OGBONNIA","","","","OF MEDICINE,",""
BACHELOR OF",""
SURGERY",""
"419","ENUGU","ENUGU NORTH","PRP","Senate","UGWUODO EMMANUEL","None","40","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WAEC certificate LLB.",""
LAW",""
"420","ENUGU","ENUGU EAST","SDP","Senate","OKOLIE  OKWUCHUKWU","None","36","M","",""
"421","ENUGU","ENUGU WEST","SDP","Senate","ELUKE CHARES OSITA","None","60","M","",""
"422","ENUGU","ENUGU NORTH","SDP","Senate","OYWEISI OGBONNA","None","55","M","FSLC WEAC BSC",""
"423","FCT","FEDERAL","A","Senate","ABDULKARIM SAULAWA","None","52","M","FSLC SSC",""
"","","CAPITAL","","","YUSUF","","","","DIPLOMA (PUBLIC",""
"","","TERRITORY","","","","","","","ADMINISTRATION)",""
"424","FCT","FEDERAL","AA","Senate","EJIE JIDEJISOS JOSIAH","None","48","M","F.L.S.C WAEC",""
"","","CAPITAL","","","","","","","",""
"","","TERRITORY","","","","","","","",""
"425","FCT","FEDERAL","ADC","Senate","OBASI PAUL SMITH","None","37","M","First school leaving",""
"","","CAPITAL","","","","","","","certificate Secondary",""
"","","TERRITORY","","","","","","","school certificate",""
"426","FCT","FEDERAL","APC","Senate","ANGULU  ZAKARI","None","52","M","FSLC TEACERS GRADE",""
"","","CAPITAL","","","","","","","II BSC (POL. SCIENCE)",""
"","","TERRITORY","","","","","","","",""
"427","FCT","FEDERAL","APGA","Senate","EZEKWUGO CHIKELUE","None","45","M","FSLC WAEC B.SC",""
"","","CAPITAL","","","ANTHONY","","","","BUSINESS STUDIES",""
"","","TERRITORY","","","","","","","",""
"428","FCT","FEDERAL","APM","Senate","EKWE","None","45","M","FIRST SCHOOL",""
"","","CAPITAL","","","CHEKWUBECHUKWU","","","","LEAVING CERTIFICATE",""
"","","TERRITORY","","","SIMON","","","","SSCE/WAEC",""
"429","FCT","FEDERAL","LP","Senate","KINGIBE IRETI HEEBAH","None","68","F","FSLC Academic diploma",""
"","","CAPITAL","","","","","","","Degree",""
"","","TERRITORY","","","","","","","",""
"430","FCT","FEDERAL","NNPP","Senate","MUBARAK AHMAD TIJJANI","None","36","M","PRIMARY LEAVING",""
"","","CAPITAL","","","","","","","CERTIFICATE WAEC",""
"","","TERRITORY","","","","","","","",""
"431","FCT","FEDERAL","NRM","Senate","ENWEREM SAMUEL","None","38","M","FSLC NECO HND",""
"","","CAPITAL","","","AKAOLISA","","","","",""
"","","TERRITORY","","","","","","","",""
"432","FCT","FEDERAL","PDP","Senate","TANIMU PHILIP ADUDA","None","53","M","SSCE DIPLOMA IN",""
"","","CAPITAL","","","","","","","SOCIAL WORK",""
"","","TERRITORY","","","","","","","",""
"433","FCT","FEDERAL","SDP","Senate","OSHO OLARENWAJU","None","55","M","FSLC WAEC BSC",""
"","","CAPITAL","","","LAWRENCE","","","","",""
"","","TERRITORY","","","","","","","",""
"434","FCT","FEDERAL","YPP","Senate","MAHAMUD MOHAMMED","None","42","M","CERTIFICATE",""
"","","CAPITAL","","","MUKHTAR","","","","OF PRIMARY",""
"","","TERRITORY","","","","","","","EDUCATION WAEC",""
SENIOR SCHOOL",""
CERTIFICATE MSC",""
ENVIRONMENTIAL",""
MGT FOR BUSINESS",""
"435","FCT","FEDERAL","ZLP","Senate","BUBA SWANI D","None","46","M","HND",""
"436","GOMBE","GOMBE NORTH","A","Senate","BALA  ABDULLAHI HABIBA","None","42","F","FSLC SSC B. A. Ed.",""
(Hons) Education",""
(Arabic)",""
"437","GOMBE","GOMBE","A","Senate","DANJUMA RIRI","None","37","F","FSLC SSC",""
"","","CENTRAL","","","","","","","",""
"438","GOMBE","GOMBE SOUTH","A","Senate","EMLY SIMON","None","35","F","FSLC SSC",""
DIPLOMA (PUBLIC",""
ADMINISTRATION)",""
"439","GOMBE","GOMBE","AA","Senate","MAGAJI ABUBAKAR","None","50","M","F.S.L.C  WAEC NCE",""
"","","CENTRAL","","","","","","","",""
"440","GOMBE","GOMBE SOUTH","AA","Senate","ALIYU NGOLMA POYILMA","None","51","M","F.S.L.C  NABTEB",""
"441","GOMBE","GOMBE NORTH","AA","Senate","MOHAMMAD SANI ADAMU","None","42","M","F.S.L.C  LEAVING",""
CERTIFICATE",""
"442","GOMBE","GOMBE NORTH","ADC","Senate","AHMED ADAMU","None","47","M","",""
"443","GOMBE","GOMBE SOUTH","ADC","Senate","ADAMU DAUDA","None","58","M","FLSC SSCE LLB",""
"444","GOMBE","GOMBE","ADC","Senate","MUSA HARUNA","None","44","M","FLSC SSCE DIPLOMA",""
"","","CENTRAL","","","","","","","",""
"445","GOMBE","GOMBE SOUTH","APC","Senate","LIDANI JOSHUA. M.","None","64","M","FSLC WASSC A.B.U",""
ZARIA",""
"446","GOMBE","GOMBE NORTH","APC","Senate","ALKALI SAIDU AHMED","None","53","M","SCHOOL LEAVING",""
CERTIFICATE",""
WAEC  BSC HONS",""
ECONOMICS",""
"447","GOMBE","GOMBE","APC","Senate","GOJE  MOHAMMED","None","69","M","KASHERE PRIMARY",""
"","","CENTRAL","","","DANJUMA","","","","SCHOOL BAUCHI",""
TEACHERS COLLEGE",""
A.B.U. ZARIA",""
"448","GOMBE","GOMBE NORTH","APM","Senate","YUSUF IBRAHIM","None","46","M","FSLC SSCE BSC.ED",""
"449","GOMBE","GOMBE SOUTH","APM","Senate","LEWIS SUNDAY","None","59","M","FSLC WAEC DIPLOMA",""
"450","GOMBE","GOMBE SOUTH","APP","Senate","JAMES CHRISTIANA","None","47","F","FSLC SSCE NCE",""
"451","GOMBE","GOMBE NORTH","BP","Senate","MUHAMMAD","None","35","M","FSLC NECO ND",""
"","","","","","ABDULRAHMAN","","","","",""
"452","GOMBE","GOMBE","BP","Senate","BAPPAH IBRAHIM","None","53","M","Primary School Leaving",""
"","","CENTRAL","","","","","","","Certificate Kwaine",""
College For Arabic",""
Studies- Gombe",""
"453","GOMBE","GOMBE NORTH","LP","Senate","ADAMU IBRAHIM USMAN","None","37","M","FSLC SSCE B. Sc",""
"454","GOMBE","GOMBE SOUTH","LP","Senate","DAVID JOHN YAKO","None","44","M","FSLC SSCE B. Sc",""
"455","GOMBE","GOMBE","LP","Senate","MUSA ALIYU ALIYU","None","50","M","FSLC SSCE/GCE B.ENG",""
"","","CENTRAL","","","","","","","",""
"456","GOMBE","GOMBE NORTH","NNPP","Senate","MOHAMMED SABIU","None","47","M","PRIMARY",""
CERTIFICATE WAEC",""
LL.B (HON) COMMON",""
AND ISLAMIC LAW, B.L",""
"457","GOMBE","GOMBE","NNPP","Senate","WAZIRI IBRAHIM","None","64","M","PRIMARY LEAVING",""
"","","CENTRAL","","","MUHAMMAD","","","","CERTIFICATE SSCE",""
"458","GOMBE","GOMBE SOUTH","NNPP","Senate","ALBASHI DAVID ABIGAIL","None","47","F","PRIMARY LEAVING",""
CERTIFICATE SSCE",""
DIPLOMA",""
"459","GOMBE","GOMBE NORTH","NRM","Senate","JIBRIN ADAMU","None","39","M","FSLC NECO B.A.",""
"460","GOMBE","GOMBE SOUTH","NRM","Senate","ABDULSALAM SERAH","None","35","F","FSLC SSCE",""
"461","GOMBE","GOMBE","NRM","Senate","SULAIMAN KIMO","None","51","M","FSLC WAEC HND",""
"","","CENTRAL","","","MOHAMMED","","","","",""
"462","GOMBE","GOMBE NORTH","PDP","Senate","DANKWAMBO IBRAHIM","None","60","M","G.C.E. BSc.",""
"","","","","","HASSAN","","","","",""
"463","GOMBE","GOMBE","PDP","Senate","ALIYU ABUBAKAR","None","70","M","FSLC G.C.E. BSc.",""
"","","CENTRAL","","","","","","","",""
"464","GOMBE","GOMBE SOUTH","PDP","Senate","YARO ANTHONY SIYAKO","None","59","M","FSLC G.C.E. BSc.",""
"465","GOMBE","GOMBE SOUTH","SDP","Senate","JONES KARAWAI","None","59","M","FLSC NECO",""
"466","GOMBE","GOMBE","SDP","Senate","MUHAMMAD ADAMU","None","55","M","FLSC NECO",""
"","","CENTRAL","","","IBRAHIM","","","","",""
"467","GOMBE","GOMBE NORTH","SDP","Senate","ADAMU MOHAMMED","None","36","M","FLSC NECO BSC",""
"","","","","","BASHIR","","","","",""
"468","GOMBE","GOMBE","ZLP","Senate","GARBA RUKAYYA","None","42","F","FIRST SCHOOL",""
"469","IMO","IMO EAST","A","Senate","NWACHUKWU MICHAEL","None","57","M","SSC BACHELOR OF",""
"","","","","","CHIAKA","","","","SCIENCE (POLITICAL",""
SCIENCE)",""
"470","IMO","IMO EAST","AA","Senate","OPARA OSONDU OGUERI","None","53","M","F.S.L.C  WAEC",""
"","","","","","DARLINGTON","","","","",""
"471","IMO","IMO NORTH","AA","Senate","ANYANWU LOUIS UCHE","None","64","M","F.L.S.C N.C.E",""
EXAMINATION",""
"472","IMO","IMO WEST","AA","Senate","UZOMAH EMEKA","None","41","M","F.L.S.C WAEC",""
"473","IMO","IMO WEST","ADC","Senate","OBIAJULU ALPHONSUS","None","64","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WASC",""
"474","IMO","IMO NORTH","ADC","Senate","EHIOGU AMARACHI,","None","44","M","FIRST SCHOOL",""
"","","","","","JUSTINA","","","","LEAVING CERTIFICATE",""
WASC B.SC",""
"475","IMO","IMO EAST","ADC","Senate","ODAGHARA CHIJIOKE,","None","42","M","FSLC WASC B.SC  AND",""
"","","","","","JULIAN, VALENTINE","","","","M.SC",""
"476","IMO","IMO EAST","APC","Senate","MBATA ALEXANDER","None","51","M","First School Leaving",""
Certificate WAEC",""
"477","IMO","IMO NORTH","APC","Senate","NDUBUEZE PATRICK","None","59","M","First School Leaving",""
"","","","","","CHIWUBA","","","","Certificate WAEC HND",""
"478","IMO","IMO WEST","APC","Senate","IZUNASO OSITA","None","55","M","First School Leaving",""
"","","","","","BONAVENTURE","","","","Certificate WAEC LLB,",""
BL",""
"479","IMO","IMO WEST","APGA","Senate","AZUMMA PATRICK ANAYO","None","59","M","FLSC WAEC",""
"480","IMO","IMO NORTH","APGA","Senate","OKIKE UCHENNA HENRY","None","58","M","FLSC WAEC",""
"481","IMO","IMO EAST","APGA","Senate","ANTHONY CHYMA","None","52","M","FLSC WAEC HIGHER",""
INSTITUTION",""
"482","IMO","IMO NORTH","APM","Senate","NKWOH JORGE","None","43","M","WAEC PHD",""
"483","IMO","IMO WEST","APM","Senate","AKUBUEZE IKECHUCKWU","None","39","M","FIRST SCHOOL",""
"","","","","","KINGDOM AKUBUEZE","","","","LEAVING CERTIFICATE",""
SSCE",""
"484","IMO","IMO EAST","APM","Senate","EMETO OBINNA","None","44","M","FIRST SCHOOL",""
"","","","","","VALENTINE","","","","LEAVING CERTIFICATE",""
SSCE MB, BS",""
"485","IMO","IMO NORTH","APP","Senate","EZIRIM ERNEST NDIDI","None","50","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
WAEC",""
"486","IMO","IMO EAST","APP","Senate","NJEMANZE CHRISTIAN","None","42","M","FIRST SCHOOL",""
"","","","","","KELECHI","","","","LEAVING CERTIFICATE",""
GCE/WAEC B.SC",""
HONS",""
"487","IMO","IMO EAST","BP","Senate","IWUANYANWU GODWIN","None","74","M","FIRST SCHOOL",""
LEAVING CERTIFICATE",""
(FSLC) NATIONAL",""
EXAMINATION",""
COUNCIL (NECO)",""
"488","IMO","IMO WEST","BP","Senate","UWE EMMANUEL OSIN","None","39","M","FIRST SCHOOL",""
LEAVING",""
CERTIFICATE (FSLC)",""
WEST AFRICA SENIOR",""
SCHOOL CERTIFICATE",""
EXAMINATION B.SC",""
"489","IMO","IMO NORTH","BP","Senate","ALIGWEKWE EUGEN","None","63","M","FIRST SCHOOL",""
"","","","","","ALAOMA","","","","LEAVING",""
CERTIFICATE (FSLC)",""
WEST AFRICA SENIOR",""
SCHOOL CERTIFICATE",""
EXAMINATION B.SC",""
"490","IMO","IMO WEST","LP","Senate","AHIZE CHARLES","None","62","M","WAEC LLB Law",""
"","","","","","UGOCHUKWU","","","","",""
"491","IMO","IMO NORTH","LP","Senate","ARARUME IFEANYI","None","40","M","SSCE LLB Law",""
"","","","","","GODWIN","","","","",""
"492","IMO","IMO EAST","LP","Senate","ONYEWUCHI EZENWA","None","54","M","FSLC WAEC B.Sc",""
"","","","","","FRANCIS","","","","",""
"493","IMO","IMO WEST","NNPP","Senate","ABALLA PAUL","None","61","M","PRIMARY LEAVING",""
CERTIFICATE WAEC",""
HND,BSC",""
"494","IMO","IMO NORTH","NNPP","Senate","AMAEFULE  RUFUS","None","65","M","PRIMARY LEAVING",""
CERTIFICATE SSCE",""
"495","IMO","IMO EAST","NNPP","Senate","ONYENEHO CHIOMA","None","42","F","PRIMARY LEAVING",""
"","","","","","AUGUSTA","","","","CERTIFICATE WAEC",""
PH.D, MA, PGDE, BA",""
"496","IMO","IMO NORTH","NRM","Senate","OFOEZE ASSUMPTA","None","43","F","FSLC WAEC BSc",""
"","","","","","IFEOMA","","","","",""
"497","IMO","IMO WEST","NRM","Senate","UWAEZUOKE STEPHEN","None","63","M","BSc",""
"","","","","","AMAECHI","","","","",""
"498","IMO","IMO EAST","NRM","Senate","MIKE KEKECHI EZE","None","42","M","FSLC",""
"499","IMO","IMO NORTH","PDP","Senate","OKEWULONU EMMANUEL","None","62","M","FSLC GCE HND",""
"","","","","","E.","","","","",""
"500","IMO","IMO EAST","PDP","Senate","ONYEAGOCHA","None","57","M","LLM",""
"","","","","","UCHECHUKWU","","","","",""
